MsgID.STATE,1527961328.0235052,False,False
MsgID.GLOBAL_HOME,1527961328.0240684,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1527961328.0242045,-122.3974486,37.7924800,-0.0340000
MsgID.LOCAL_VELOCITY,1527961328.0242045,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527961328.0244093,0.0064919,0.1191221,0.0347346
MsgID.LOCAL_VELOCITY,1527961328.0244093,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527961328.0245776,-122.3974491,37.7924787,-0.0040000
MsgID.LOCAL_VELOCITY,1527961328.0245776,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527961328.0247393,-0.1355755,0.0726626,0.0044651
MsgID.LOCAL_VELOCITY,1527961328.0247393,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527961328.0248704,-122.3974514,37.7924784,0.0290000
MsgID.LOCAL_VELOCITY,1527961328.0248704,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527961328.0250428,-0.1736986,-0.1290943,-0.0296915
MsgID.LOCAL_VELOCITY,1527961328.0250428,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527961328.0252218,-122.3974499,37.7924803,0.0620000
MsgID.LOCAL_VELOCITY,1527961328.0252218,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527961328.0253656,0.0381877,0.0055155,-0.0628360
MsgID.LOCAL_VELOCITY,1527961328.0253656,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1527961328.1346538,True,True
MsgID.GLOBAL_HOME,1527961349.3430119,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1527961349.3431535,-122.3974512,37.7924808,0.0900000
MsgID.LOCAL_VELOCITY,1527961349.3431535,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527961349.3433106,0.0912037,-0.1139078,-0.0905862
